"Phase [deg]","Freq [GHz]","surface_int_B []"
0,0.1,1.68510157784029E-06
0,0.1198,1.7428968526247E-06
0,0.1396,1.81469678568379E-06
0,0.1594,1.9020830760529E-06
0,0.1792,2.00778493073264E-06
0,0.199,2.13351579539793E-06
0,0.2188,2.28122496112829E-06
0,0.2386,2.45014516169561E-06
0,0.2584,2.63308369247794E-06
0,0.2782,2.8037295961863E-06
0,0.298,2.89063618321695E-06
0,0.3178,2.72490549947942E-06
0,0.3376,1.99383996244905E-06
0,0.3574,4.52203999788418E-07
0,0.3772,1.43523643790568E-06
0,0.397,2.6978075218739E-06
0,0.4168,3.09470275514458E-06
0,0.4366,2.98814416710137E-06
0,0.4564,2.68629871303088E-06
0,0.4762,2.31891598058373E-06
0,0.496,1.89683068185545E-06
0,0.5158,1.29628880669695E-06
0,0.5356,6.26324558564171E-07
0,0.5554,5.40231253659791E-06
0,0.5752,3.0774870046684E-06
0,0.595,2.47532830844758E-06
0,0.6148,2.18306733711241E-06
0,0.6346,2.0015282944067E-06
0,0.6544,1.87581933936514E-06
0,0.6742,1.78432353456139E-06
0,0.694,1.71651567579911E-06
0,0.7138,1.66662404071773E-06
0,0.7336,1.63115927015937E-06
0,0.7534,1.60800254152982E-06
0,0.7732,1.5958012238745E-06
0,0.793,1.59369763804255E-06
0,0.8128,1.60125072707271E-06
0,0.8326,1.61845230354075E-06
0,0.8524,1.64529147487325E-06
0,0.8722,1.68218899535167E-06
0,0.892,1.72956860073029E-06
0,0.9118,1.78803150795706E-06
0,0.9316,1.85814171111031E-06
0,0.9514,1.94019045583733E-06
0,0.9712,2.03346161704685E-06
0,0.991,2.13535547594786E-06
0,1.0108,2.23887510118138E-06
0,1.0306,2.32788284150981E-06
0,1.0504,2.3676411596153E-06
0,1.0702,2.2879833968011E-06
0,1.09,1.96211053945707E-06
0,1.1098,1.21448852364441E-06
0,1.1296,4.730675360981E-08
0,1.1494,1.56846508196351E-06
0,1.1692,2.79723071063405E-06
0,1.189,3.42525499381573E-06
0,1.2088,3.56344393950681E-06
0,1.2286,3.44384744506949E-06
0,1.2484,3.22794073655266E-06
0,1.2682,2.99590838492956E-06
0,1.288,2.78075841494723E-06
0,1.3078,2.59350256288792E-06
0,1.3276,2.43602839698457E-06
0,1.3474,2.30698880322637E-06
0,1.3672,2.20437201826472E-06
0,1.387,2.12670914981257E-06
0,1.4068,2.07382487221079E-06
0,1.4266,2.04791179081213E-06
0,1.4464,2.05581433656566E-06
0,1.4662,2.1152033084004E-06
0,1.486,2.27689105159602E-06
0,1.5058,2.7165270326902E-06
0,1.5256,2.47218967260866E-06
0,1.5454,2.26573734347616E-07
0,1.5652,9.0707038096575E-07
0,1.585,1.1511391886827E-06
0,1.6048,1.28600585998301E-06
0,1.6246,1.38194911838628E-06
0,1.6444,1.46298179020585E-06
0,1.6642,1.53907990260504E-06
0,1.684,1.61503867836961E-06
0,1.7038,1.69288271729592E-06
0,1.7236,1.77199883426305E-06
0,1.7434,1.84880035552276E-06
0,1.7632,1.91436819871779E-06
0,1.783,1.94988364773785E-06
0,1.8028,1.91816287645252E-06
0,1.8226,1.74984271578639E-06
0,1.8424,1.32848435354369E-06
0,1.8622,5.04314319579691E-07
0,1.882,7.85799750428378E-07
0,1.9018,2.29169763180227E-06
0,1.9216,3.48750376776547E-06
0,1.9414,4.06276049443544E-06
0,1.9612,4.12505365130003E-06
0,1.981,3.92032855402077E-06
0,2.0008,3.62381878417844E-06
0,2.0206,3.32161694580244E-06
0,2.0404,3.04705990586549E-06
0,2.0602,2.80940395375351E-06
0,2.08,2.60813462056442E-06
0,2.0998,2.43980150327272E-06
0,2.1196,2.30257848457628E-06
0,2.1394,2.40149598361216E-06
0,2.1592,2.07154217320681E-06
0,2.179,1.98822701897177E-06
0,2.1988,1.91683507617493E-06
0,2.2186,1.85293823052516E-06
0,2.2384,1.78972828782957E-06
0,2.2582,1.7131835385142E-06
0,2.278,1.58677511033808E-06
0,2.2978,1.29004747617893E-06
0,2.3176,3.65047823739406E-07
0,2.3374,1.47448915067455E-06
0,2.3572,5.07456825475111E-07
0,2.377,6.6603704653152E-07
0,2.3968,1.09402199478417E-06
0,2.4166,1.28855854184123E-06
0,2.4364,1.38209104670656E-06
0,2.4562,1.41415947190578E-06
0,2.476,1.38995749427817E-06
0,2.4958,1.29531958290089E-06
0,2.5156,1.09892644164162E-06
0,2.5354,7.50645816982588E-07
0,2.5552,1.86360191431101E-07
0,2.575,6.45785319322398E-07
0,2.5948,1.71926473290409E-06
0,2.6146,2.8546042049263E-06
0,2.6344,3.76014849804439E-06
0,2.6542,4.23218568248827E-06
0,2.674,4.28439371772512E-06
0,2.6938,4.06380153421376E-06
0,2.7136,3.71661738270214E-06
0,2.7334,3.33537132337093E-06
0,2.7532,2.96478270412913E-06
0,2.773,2.62074294186284E-06
0,2.7928,2.30416185170141E-06
0,2.8126,2.00762585629452E-06
0,2.8324,1.71688796674914E-06
